Cluster1:,0.126666666667,10,(18- 60),(45- 61),(61- 18),(61- 81),(45- 30),(19- 18),(19- 101),(61- 44),(12- 61),(99- 34),(20- 56),(45- 56),(45- 26),(45- 90),(61- 101),
Cluster2:,1.0,1,(60- 62),(9- 11),(60- 84),(22- 11),(88- 62),(88- 16),(61- 62),(4- 84),(88- 84),(61- 11),(61- 16),(60- 11),(4- 16),(91- 11),(9- 16),
Cluster3:,1.0,1,(26- 74),(26- 64),(26- 81),(61- 81),(61- 64),(26- 20),(61- 74),(27- 74),(76- 81),(61- 20),(27- 64),(76- 64),(76- 74),(27- 20),(76- 20),
Cluster4:,0.155318404479,5716,(61- 61),(61- 99),(99- 61),(61- 11),(61- 58),(58- 61),(61- 109),(11- 61),(109- 61),(99- 99),(61- 45),(45- 61),(61- 44),(58- 99),(61- 18),
EvaValue:,0.185430106633
